id,status,created,modified,name,icon,path,type,component,pid,identifier,api,method
1,1,2022-10-04 10:23:49.227103+00:00,2022-10-04 10:23:49.227113+00:00,系统面板,DashboardOutlined,/dashboard,0,,0,,,
2,1,2022-10-04 10:23:49.231260+00:00,2022-10-04 10:23:49.231267+00:00,系统管理,AppstoreOutlined,/system,0,,0,,,
3,1,2022-10-04 10:23:49.234848+00:00,2022-10-04 10:23:49.234859+00:00,用户管理,TeamOutlined,/system/user,1,/system/user/user.vue,2,,,
4,1,2022-10-04 10:23:49.239058+00:00,2022-10-04 10:23:49.239069+00:00,角色管理,UserOutlined,/system/role,1,/system/role/role.vue,2,,,
5,1,2022-10-04 10:23:49.242859+00:00,2022-10-04 10:23:49.242868+00:00,菜单管理,MenuOutlined,/system/menu,1,/system/menu/menu.vue,2,,,
6,1,2022-10-04 10:23:49.246288+00:00,2022-10-04 10:23:49.246297+00:00,数据面板,AreaChartOutlined,/dashboard/index,1,/dashboard/index/index.vue,1,,,
7,1,2022-10-04 10:23:49.249998+00:00,2022-10-04 10:23:49.250006+00:00,用户详情,,,3,,3,user:get,/user/{pk},GET
8,1,2022-10-04 10:23:49.252976+00:00,2022-10-04 10:23:49.252983+00:00,用户列表,,,3,,3,,/user,GET
9,1,2022-10-04 10:23:49.256606+00:00,2022-10-04 10:23:49.256615+00:00,用户查询,,,2,,3,user:query,/user/query,POST
10,1,2022-10-04 10:23:49.260460+00:00,2022-10-04 10:23:49.260467+00:00,用户新增,,,2,,3,user:create,/user,POST
11,1,2022-10-04 10:23:49.263770+00:00,2022-10-04 10:23:49.263780+00:00,用户删除,,,2,,3,user:delete,/user/{pk},DELETE
12,1,2022-10-04 10:23:49.267737+00:00,2022-10-04 10:23:49.267746+00:00,用户更新,,,2,,3,user:update,/user/{pk},PUT
13,1,2022-10-04 10:23:49.272090+00:00,2022-10-04 10:23:49.272100+00:00,查询角色拥有权限,,,3,,4,,/role/{rid}/menu,GET
14,1,2022-10-04 10:23:49.276745+00:00,2022-10-04 10:23:49.276755+00:00,角色列表,,,3,,4,,/role,GET
15,1,2022-10-04 10:23:49.280997+00:00,2022-10-04 10:23:49.281006+00:00,角色查询,,,2,,4,role:query,/role/query,POST
16,1,2022-10-04 10:23:49.284933+00:00,2022-10-04 10:23:49.284943+00:00,角色新增,,,2,,4,role:create,/role,POST
17,1,2022-10-04 10:23:49.290230+00:00,2022-10-04 10:23:49.290241+00:00,角色删除,,,2,,4,role:delete,/role/{pk},DELETE
18,1,2022-10-04 10:23:49.294938+00:00,2022-10-04 10:23:49.294948+00:00,角色更新,,,2,,4,role:update,/role/{pk},PUT
19,1,2022-10-04 10:23:49.298833+00:00,2022-10-04 10:23:49.298842+00:00,菜单列表,,,3,,5,,/menu,GET
20,1,2022-10-04 10:23:49.303029+00:00,2022-10-04 10:23:49.303038+00:00,菜单新增,,,2,,5,menu:create,/menu,POST
21,1,2022-10-04 10:23:49.307568+00:00,2022-10-04 10:23:49.307578+00:00,菜单更新,,,2,,5,menu:update,/menu/{pk},PUT
22,1,2022-10-04 10:23:49.311312+00:00,2022-10-04 10:23:49.311319+00:00,菜单删除,,,2,,5,menu:delete,/menu/{pk},DELETE
